epoch,accuracy,loss,val_accuracy,val_loss
0,0.7774999737739563,0.6171295046806335,0.8462499976158142,0.32851916551589966
1,0.862500011920929,0.3460739552974701,0.9012500047683716,0.24791115522384644
2,0.8889999985694885,0.2796894311904907,0.8399999737739563,0.4453519880771637
3,0.9075000286102295,0.23787887394428253,0.9075000286102295,0.2607609033584595
4,0.9235000014305115,0.20587027072906494,0.9049999713897705,0.2541707158088684
5,0.9229999780654907,0.2040199339389801,0.893750011920929,0.3197610378265381
6,0.9254999756813049,0.17968326807022095,0.9024999737739563,0.3217628002166748
7,0.9340000152587891,0.16873997449874878,0.9075000286102295,0.291466623544693
8,0.9434999823570251,0.1408713012933731,0.9037500023841858,0.35896408557891846
9,0.9484999775886536,0.142971009016037,0.8924999833106995,0.4097697138786316
